QualifiedApiName,NamespacePrefix,Label
EngagementTopicFeed,,Engagement Topic Feed
EngagementTopicChangeEvent,,Engagement Topic Change Event
LoyaltyProgramPartnerLedger,,Loyalty Program Partner Ledger
LoyaltyProgramPartnerLedgerChangeEvent,,Loyalty Program Partner Ledger Change Event
ObjectUserTerritory2View,,Object User Territory2 View
Prospect,,Prospect
ProspectChangeEvent,,Prospect Change Event
DataDetectScanResult,,Data Detect Scan Result
FldSvcObjChg,,Field Service Object Change
FldSvcObjChgDtl,,Field Service Object Change Detail
PackageSubscriberOrgInstall,,Package Subscriber Org Install
SetupRecordShare,,Setup Record Share
FieldHistoryArchive,,Field History Archive
HistoryRetentionJob,,Field History Retention Job
EventBusSubscriber,,Platform Event Subscription
ContentHubItem,,Files Connect item
SiqUserBlacklistShare,,Inbox User Excluded Address Share
SiqUserBlacklistOwnerSharingRule,,Inbox User Excluded Address Owner Rule
SiqUserBlacklistHistory,,Inbox User Excluded Address History
StreamActivityAccessShare,,Stream Activity Access Share
StreamActivityAccessOwnerSharingRule,,Stream Activity Access Owner Rule
StreamActivityAccessHistory,,Stream Activity Access History
RequestsForAccessSIQShare,,Request Access to SIQ Object Share
RequestsForAccessSIQOwnerSharingRule,,Request Access to SIQ Object Owner Rule
SalesforceIqInboxUser,,Inbox User
EventLogFile,,Event Log File
EntityLimit,,Entity Limit
EntityDefinition,,Entity Definition
FieldDefinition,,Field Definition
EntityParticle,,Entity Particle
PicklistValueInfo,,Picklist Value Info
RelationshipInfo,,Relationship
RelationshipDomain,,Relationship Domain
CompactLayoutInfo,,Compact Layout
CompactLayoutItemInfo,,Compact Layout Item
SearchLayout,,Search Layout
RelatedEntity,,Related Entity
Publisher,,Publisher
Service,,Service
ServiceVersion,,Service Version
WebServiceDefinition,,Web Service Definition
XmlSchema,,XML Schema
ServiceDataType,,Service Data Type
WsdlDataType,,WSDL Data Type
DataType,,Data Type
UserFieldAccess,,User Field Access
UserEntityAccess,,User Entity Access
StandardAction,,Standard Action
OwnerChangeOptionInfo,,Change Owner Option Info
DataStatistics,,Data Statistics
LoginEvent,,Login Event
LoginEventStream,,Login Event Stream
ApiEvent,,API Event
Index,,Custom Index
IndexField,,Custom Index Field
LicenseDefinition,,License Definition
LicensedCustomPermission,,Licensed Custom Permission
StandardValueSet,,Standard Value Set
LayoutParticle,,Layout Particle
FlexiPage,,Lightning Page
QuickActionDefinition,,Action
QuickActionDefinitionLocalization,,Translation
QuickActionList,,Action List
QuickActionListItem,,Action List Item
CorsWhitelistEntry,,CORS Allowed Origin List
SearchPromotionRule,,Search Promotion Rule
SearchActivity,,Search Activity
FileSearchActivity,,FileSearchActivity
CampaignInfluence,,Campaign Influence
CampaignInfluenceModel,,Campaign Influence Model
RecalcCampaignStats,,Recalc Campaign Stats
DeployRequest,,Deploy Request
DeployTestResult,,Deploy Test Result
AccountContactRole,,Account Contact Role
AccountContactRoleChangeEvent,,Account Contact Role Change Event
OpportunitySplit,,Opportunity Split
OpportunitySplitHistory,,Opportunity Split History
OpportunitySplitChangeEvent,,Opportunity Split Change Event
OpportunitySplitType,,Opportunity Split Type
ForecastingType,,Forecasting Type
ForecastingShare,,Forecasting Share
ForecastingOwnerAdjustment,,Forecasting Owner Adjustment
ForecastingOwnerAdjustmentChangeEvent,,Forecasting Owner Adjustment Change Event
ForecastingCategoryMapping,,Forecasting Category Mapping
ForecastingTypeToCategory,,Forecasting Type To Category Mapping
ForecastingUserPreference,,Forecasting User Preference
ForecastingItemPivot,,Forecasting Item Pivot
Quote,,Quote
QuoteShare,,Quote Share
QuoteOwnerSharingRule,,Quote Owner Rule
QuoteHistory,,Quote History
QuoteFeed,,Quote Feed
QuoteChangeEvent,,Quote Change Event
QuoteLineItem,,Quote Line Item
QuoteLineItemHistory,,Quote Line Item History
QuoteLineItemChangeEvent,,Quote Line Item Change Event
QuoteTemplateRichTextData,,Quote Template Rich Text Data
Pricebook2,,Price Book
Pricebook2History,,Price Book History
Pricebook2ChangeEvent,,Price Book Change Event
IdeaReputationLevel,,Idea Reputation Level
Idea,,Idea
IdeaComment,,Idea Comment
CaptchaKey,,Captcha Key
CustomConsoleComponent,,Custom Console Component
FeedFilterDefinitionLocalization,,Translation
Macro,,Macro
MacroShare,,Macro Share
MacroOwnerSharingRule,,Macro Owner Rule
MacroHistory,,Macro History
MacroChangeEvent,,Macro Change Event
MacroInstruction,,Macro Instruction
MacroInstructionChangeEvent,,Macro Instruction Change Event
WorkOrder,,Work Order
WorkOrderShare,,Work Order Share
WorkOrderOwnerSharingRule,,Work Order Owner Rule
WorkOrderHistory,,Work Order History
WorkOrderFeed,,Work Order Feed
WorkOrderChangeEvent,,Work Order Change Event
WorkOrderLineItem,,Work Order Line Item
WorkOrderLineItemHistory,,Work Order Line Item History
WorkOrderLineItemFeed,,Work Order Line Item Feed
WorkOrderLineItemChangeEvent,,Work Order Line Item Change Event
ServiceAppointment,,Service Appointment
ServiceAppointmentShare,,Service Appointment Share
ServiceAppointmentOwnerSharingRule,,Service Appointment Owner Rule
ServiceAppointmentHistory,,Service Appointment History
ServiceAppointmentFeed,,Service Appointment Feed
ServiceAppointmentChangeEvent,,Service Appointment Change Event
WorkType,,Work Type
WorkTypeShare,,Work Type Share
WorkTypeOwnerSharingRule,,Work Type Owner Rule
WorkTypeHistory,,Work Type History
WorkTypeFeed,,Work Type Feed
WorkTypeChangeEvent,,Work Type Change Event
ServiceResource,,Service Resource
ServiceResourceShare,,Service Resource Share
ServiceResourceOwnerSharingRule,,Service Resource Owner Rule
ServiceResourceHistory,,Service Resource History
ServiceResourceFeed,,Service Resource Feed
ServiceResourceChangeEvent,,Service Resource Change Event
ServiceTerritory,,Service Territory
ServiceTerritoryShare,,Service Territory Share
ServiceTerritoryOwnerSharingRule,,Service Territory Owner Rule
ServiceTerritoryHistory,,Service Territory History
ServiceTerritoryFeed,,Service Territory Feed
ServiceTerritoryChangeEvent,,Service Territory Change Event
ServiceTerritoryMember,,Service Territory Member
ServiceTerritoryMemberHistory,,Service Territory Member History
ServiceTerritoryMemberFeed,,Service Territory Member Feed
ServiceTerritoryMemberChangeEvent,,Service Territory Member Change Event
ServiceResourceSkill,,Service Resource Skill
ServiceResourceSkillHistory,,Service Resource Skill History
ServiceResourceSkillFeed,,Service Resource Skill Feed
ServiceResourceSkillChangeEvent,,Service Resource Skill Change Event
SkillRequirement,,Skill Requirement
SkillRequirementHistory,,Skill Requirement History
SkillRequirementFeed,,Skill Requirement Feed
SkillRequirementChangeEvent,,Skill Requirement Change Event
AssignedResource,,Assigned Resource
AssignedResourceHistory,,Assigned Resource History
AssignedResourceFeed,,Assigned Resource Feed
AssignedResourceChangeEvent,,Assigned Resource Change Event
OperatingHours,,Operating Hours
OperatingHoursShare,,Operating Hours Share
OperatingHoursOwnerSharingRule,,Operating Hours Owner Rule
OperatingHoursHistory,,Operating Hours History
OperatingHoursFeed,,Operating Hours Feed
OperatingHoursChangeEvent,,Operating Hours Change Event
ResourceAbsence,,Resource Absence
ResourceAbsenceHistory,,Resource Absence History
ResourceAbsenceFeed,,Resource Absence Feed
ResourceAbsenceChangeEvent,,Resource Absence Change Event
TimeSlot,,Time Slot
